published_year,published_month,published_year_month,job_category,contract_type,work_type,count_job_offers,count_companies,avg_description_length,avg_word_count,remote_jobs,permanent_jobs,created_at
2025,12,2025-12-01,Analytics Engineer,Not Specified,Not Specified,3,2,7796.333333333333,1081.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,BI Developer,Not Specified,Not Specified,10,8,6079.0,869.2,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Analyst,Contract,Not Specified,3,0,548.0,81.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Analyst,Not Specified,Not Specified,47,29,3849.021276595745,544.9574468085107,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Architect,Not Specified,Not Specified,5,4,3951.8,522.8,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Engineer,Not Specified,Not Specified,40,36,4375.45,621.125,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Engineer,Contract,Not Specified,3,0,2212.6666666666665,296.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Scientist,Not Specified,Not Specified,51,34,5500.35294117647,784.7647058823529,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Data Scientist,Contract,Not Specified,1,0,1053.0,170.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,ETL/Pipeline Engineer,Contract,Not Specified,2,0,1566.0,187.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,ML Engineer,Not Specified,Not Specified,27,19,6376.851851851852,914.9629629629629,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,ML Engineer,Contract,Not Specified,3,0,1515.6666666666667,180.66666666666666,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Other Data Role,Not Specified,Not Specified,493,308,4913.724137931034,692.2738336713996,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,12,2025-12-01,Other Data Role,Contract,Not Specified,108,0,954.3611111111111,132.2314814814815,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Analytics Engineer,Not Specified,Not Specified,20,16,5566.35,816.35,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,BI Developer,Not Specified,Not Specified,17,11,5785.176470588235,846.1176470588235,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,BI Developer,Contract,Not Specified,4,0,1294.0,188.25,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Analyst,Contract,Not Specified,25,0,966.08,128.56,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Analyst,Not Specified,Not Specified,81,73,4509.37037037037,636.3456790123457,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Architect,Not Specified,Not Specified,4,4,4295.75,597.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Architect,Contract,Not Specified,1,0,486.0,63.0,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Engineer,Contract,Not Specified,14,0,1286.7857142857142,182.92857142857142,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Engineer,Not Specified,Not Specified,190,156,4853.626315789474,695.9894736842106,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Scientist,Contract,Not Specified,6,0,1006.0,134.66666666666666,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Data Scientist,Not Specified,Not Specified,143,117,5491.699300699301,753.5104895104895,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,ETL/Pipeline Engineer,Contract,Not Specified,12,0,725.4166666666666,105.91666666666667,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,ML Engineer,Not Specified,Not Specified,63,52,4744.269841269841,679.8253968253969,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,ML Engineer,Contract,Not Specified,11,0,1252.4545454545455,171.45454545454547,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Other Data Role,Not Specified,Not Specified,433,288,5326.115473441108,750.4480369515012,0.0,0.0,2026-01-08 11:38:49.456978+01:00
2025,11,2025-11-01,Other Data Role,Contract,Not Specified,830,0,767.377108433735,107.05301204819277,0.0,0.0,2026-01-08 11:38:49.456978+01:00
