job_skill_id,job_offer_id,skill_id,skill_name,created_at
1,1,7,Scala,2026-01-08 11:38:51.554861+01:00
2,9,6,PyTorch,2026-01-08 11:38:51.554861+01:00
3,9,7,Scala,2026-01-08 11:38:51.554861+01:00
4,9,8,Tableau,2026-01-08 11:38:51.554861+01:00
5,9,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
6,13,5,Pandas,2026-01-08 11:38:51.554861+01:00
7,15,8,Tableau,2026-01-08 11:38:51.554861+01:00
8,16,8,Tableau,2026-01-08 11:38:51.554861+01:00
9,20,8,Tableau,2026-01-08 11:38:51.554861+01:00
10,22,5,Pandas,2026-01-08 11:38:51.554861+01:00
11,23,4,NumPy,2026-01-08 11:38:51.554861+01:00
12,23,5,Pandas,2026-01-08 11:38:51.554861+01:00
13,23,6,PyTorch,2026-01-08 11:38:51.554861+01:00
14,23,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
15,24,8,Tableau,2026-01-08 11:38:51.554861+01:00
16,30,6,PyTorch,2026-01-08 11:38:51.554861+01:00
17,30,7,Scala,2026-01-08 11:38:51.554861+01:00
18,30,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
19,31,1,Airflow,2026-01-08 11:38:51.554861+01:00
20,31,3,Looker,2026-01-08 11:38:51.554861+01:00
21,31,6,PyTorch,2026-01-08 11:38:51.554861+01:00
22,31,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
23,32,8,Tableau,2026-01-08 11:38:51.554861+01:00
24,34,2,Docker,2026-01-08 11:38:51.554861+01:00
25,36,7,Scala,2026-01-08 11:38:51.554861+01:00
26,37,7,Scala,2026-01-08 11:38:51.554861+01:00
27,41,7,Scala,2026-01-08 11:38:51.554861+01:00
28,47,8,Tableau,2026-01-08 11:38:51.554861+01:00
29,50,4,NumPy,2026-01-08 11:38:51.554861+01:00
30,50,5,Pandas,2026-01-08 11:38:51.554861+01:00
31,50,8,Tableau,2026-01-08 11:38:51.554861+01:00
32,51,7,Scala,2026-01-08 11:38:51.554861+01:00
33,52,3,Looker,2026-01-08 11:38:51.554861+01:00
34,52,8,Tableau,2026-01-08 11:38:51.554861+01:00
35,57,7,Scala,2026-01-08 11:38:51.554861+01:00
36,58,7,Scala,2026-01-08 11:38:51.554861+01:00
37,60,1,Airflow,2026-01-08 11:38:51.554861+01:00
38,60,7,Scala,2026-01-08 11:38:51.554861+01:00
39,61,7,Scala,2026-01-08 11:38:51.554861+01:00
40,62,1,Airflow,2026-01-08 11:38:51.554861+01:00
41,62,2,Docker,2026-01-08 11:38:51.554861+01:00
42,62,7,Scala,2026-01-08 11:38:51.554861+01:00
43,63,1,Airflow,2026-01-08 11:38:51.554861+01:00
44,63,7,Scala,2026-01-08 11:38:51.554861+01:00
45,64,2,Docker,2026-01-08 11:38:51.554861+01:00
46,64,7,Scala,2026-01-08 11:38:51.554861+01:00
47,65,1,Airflow,2026-01-08 11:38:51.554861+01:00
48,65,7,Scala,2026-01-08 11:38:51.554861+01:00
49,66,7,Scala,2026-01-08 11:38:51.554861+01:00
50,67,1,Airflow,2026-01-08 11:38:51.554861+01:00
51,67,7,Scala,2026-01-08 11:38:51.554861+01:00
52,68,7,Scala,2026-01-08 11:38:51.554861+01:00
53,69,1,Airflow,2026-01-08 11:38:51.554861+01:00
54,69,2,Docker,2026-01-08 11:38:51.554861+01:00
55,69,6,PyTorch,2026-01-08 11:38:51.554861+01:00
56,69,7,Scala,2026-01-08 11:38:51.554861+01:00
57,69,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
58,70,3,Looker,2026-01-08 11:38:51.554861+01:00
59,70,7,Scala,2026-01-08 11:38:51.554861+01:00
60,70,8,Tableau,2026-01-08 11:38:51.554861+01:00
61,71,3,Looker,2026-01-08 11:38:51.554861+01:00
62,71,7,Scala,2026-01-08 11:38:51.554861+01:00
63,71,8,Tableau,2026-01-08 11:38:51.554861+01:00
64,72,3,Looker,2026-01-08 11:38:51.554861+01:00
65,72,7,Scala,2026-01-08 11:38:51.554861+01:00
66,72,8,Tableau,2026-01-08 11:38:51.554861+01:00
67,73,2,Docker,2026-01-08 11:38:51.554861+01:00
68,73,6,PyTorch,2026-01-08 11:38:51.554861+01:00
69,73,7,Scala,2026-01-08 11:38:51.554861+01:00
70,73,8,Tableau,2026-01-08 11:38:51.554861+01:00
71,73,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
72,74,6,PyTorch,2026-01-08 11:38:51.554861+01:00
73,74,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
74,75,7,Scala,2026-01-08 11:38:51.554861+01:00
75,76,6,PyTorch,2026-01-08 11:38:51.554861+01:00
76,76,7,Scala,2026-01-08 11:38:51.554861+01:00
77,76,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
78,77,7,Scala,2026-01-08 11:38:51.554861+01:00
79,85,7,Scala,2026-01-08 11:38:51.554861+01:00
80,87,6,PyTorch,2026-01-08 11:38:51.554861+01:00
81,88,7,Scala,2026-01-08 11:38:51.554861+01:00
82,89,7,Scala,2026-01-08 11:38:51.554861+01:00
83,90,5,Pandas,2026-01-08 11:38:51.554861+01:00
84,90,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
85,91,7,Scala,2026-01-08 11:38:51.554861+01:00
86,93,8,Tableau,2026-01-08 11:38:51.554861+01:00
87,97,7,Scala,2026-01-08 11:38:51.554861+01:00
88,98,7,Scala,2026-01-08 11:38:51.554861+01:00
89,100,1,Airflow,2026-01-08 11:38:51.554861+01:00
90,100,2,Docker,2026-01-08 11:38:51.554861+01:00
91,100,7,Scala,2026-01-08 11:38:51.554861+01:00
92,104,2,Docker,2026-01-08 11:38:51.554861+01:00
93,105,2,Docker,2026-01-08 11:38:51.554861+01:00
94,105,7,Scala,2026-01-08 11:38:51.554861+01:00
95,107,7,Scala,2026-01-08 11:38:51.554861+01:00
96,107,8,Tableau,2026-01-08 11:38:51.554861+01:00
97,108,7,Scala,2026-01-08 11:38:51.554861+01:00
98,109,8,Tableau,2026-01-08 11:38:51.554861+01:00
99,111,8,Tableau,2026-01-08 11:38:51.554861+01:00
100,112,8,Tableau,2026-01-08 11:38:51.554861+01:00
101,113,7,Scala,2026-01-08 11:38:51.554861+01:00
102,118,4,NumPy,2026-01-08 11:38:51.554861+01:00
103,118,5,Pandas,2026-01-08 11:38:51.554861+01:00
104,120,2,Docker,2026-01-08 11:38:51.554861+01:00
105,120,6,PyTorch,2026-01-08 11:38:51.554861+01:00
106,120,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
107,125,8,Tableau,2026-01-08 11:38:51.554861+01:00
108,126,6,PyTorch,2026-01-08 11:38:51.554861+01:00
109,126,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
110,127,2,Docker,2026-01-08 11:38:51.554861+01:00
111,127,6,PyTorch,2026-01-08 11:38:51.554861+01:00
112,127,9,TensorFlow,2026-01-08 11:38:51.554861+01:00
113,128,7,Scala,2026-01-08 11:38:51.554861+01:00
114,128,8,Tableau,2026-01-08 11:38:51.554861+01:00
115,130,7,Scala,2026-01-08 11:38:51.554861+01:00
116,131,7,Scala,2026-01-08 11:38:51.554861+01:00
117,132,2,Docker,2026-01-08 11:38:51.554861+01:00
118,132,4,NumPy,2026-01-08 11:38:51.554861+01:00
119,132,5,Pandas,2026-01-08 11:38:51.554861+01:00
120,132,8,Tableau,2026-01-08 11:38:51.554861+01:00
121,133,8,Tableau,2026-01-08 11:38:51.554861+01:00
122,134,7,Scala,2026-01-08 11:38:51.554861+01:00
123,135,6,PyTorch,2026-01-08 11:38:51.554861+01:00
