job_title_cleaned,location_cleaned,company_name_cleaned,job_description_cleaned,contract_type_cleaned,work_type_cleaned,job_url,company_url,published_date,posted_time,published_year_month,published_year,published_month,ingestion_timestamp,dedup_rank,job_category,contract_type_normalized,work_type_normalized,skill_name,has_skill
"[urgent] - need senior data engineer 4-5 years (snowflake data warehouse, python, powerbi)",india,,"we are looking for a highly skilled senior data engineer with 4–5 years of proven experience to build data pipelines and build powerbi dashboards. the project duration is 6 months, and the provided budget covers this period. based on performance, the project may be extended with a revised budget.

key responsibilities:
	•	design, build, optimize, and maintain data pipelines in snowflake.
	•	develop and maintain power bi dashboards and reports, including complex dax functions.
	•	write efficient and scalable python scripts for data processing, transformation, and automation.
	•	integrate data from multiple sources and ensure high levels of data quality and reliability.
	•	collaborate with analytics and product teams to understand reporting and data requirements.
	•	(good to have) build and maintain transformation workflows using dbt.

required skills:
	•	strong hands-on experience with snowflake data warehouse (querying, performance optimization, data modeling).
	•	proven experience in power bi report development, including creating dax expressions and data models.
	•	proficient in python for data processing/etl.
	•	experience working with large datasets and cloud-based data solutions.
	•	good communication skills and ability to work independently.",cdd,dbt,https://www.upwork.com/jobs/URGENT-Need-Senior-span-class-highlight-Data-span-Engineer-years-Snowflake-span-class-highlight-Data-span-warehouse-Python-PowerBI_~021994690172235998708/?referrer_url_path=/nx/search/jobs/,,2025-11-29,Posted 3 days ago,2025-11-01,2025,11,2026-01-08 11:38:48.700486+01:00,1,Data Engineer,Contract,Not Specified,Scala,1
advanced analytics analyst ii,"chesapeake, va",dollar tree stores,"about the role

the advanced analytics analyst ii is a senior individual contributor who plays a pivotal role in shaping the strategic direction of merchandising analytics. this role is responsible for integrating advanced analytics into business processes, influencing cross-functional stakeholders, and driving innovation across the organization. the analyst ii is expected to operate with a high degree of autonomy and business acumen, bridging technical capabilities with strategic business needs.

what you’ll do

lead the development and deployment of advanced analytics solutions through partnerships with merchandising organization.

translate complex business challenges into scalable analytics products using platforms such as tableau, power bi, sql, python, and google cloud platform.

partner with business leaders to identify opportunities for analytics-driven transformation and influence decision-making.

drive integration of analytics tools into business workflows, ensuring adoption and measurable impact.

key responsibilities

manage and optimize the retail analytics product suite, including assortment and merchandising tools.

collaborate cross-functionally with merchandising, supply chain, and it to ensure seamless integration and performance of analytics solutions.

automate operational workflows using sql, python, and cloud-based technologies to improve efficiency and scalability.

develop predictive models (e.g., regression, classification) to support business forecasting, inferencing, and decomposition.

design intuitive dashboards and visualizations that empower end-users to access granular insights and drive business outcomes.

champion innovation by integrating ai-enhanced tools to support a leaner, more agile analytics function.

minimum qualifications

analyst ii:

master’s degree in data science, business analytics, computer science, or a related field.

minimum 2 years of experience with hands on coding in python (data science models).

proven expertise in data science modeling, cloud platforms, and dashboard development.

demonstrated ability to lead strategic analytics initiatives, influence stakeholders, and deliver measurable business outcomes.

additional information

this job description reflects the general nature and scope of the role. responsibilities may evolve based on business needs and organizational priorities.

full time

500 volvo parkway,chesapeake,virginia 23320

buying

dollar tree",full-time,business development and sales,https://www.linkedin.com/jobs/view/advanced-analytics-analyst-ii-at-dollar-tree-stores-4340748491?trk=public_jobs_topcard-title,https://www.linkedin.com/company/dollar-tree-stores?trk=public_jobs_topcard-org-name,2025-12-02,7 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Other Data Role,Not Specified,Not Specified,Tableau,1
advanced analytics analyst ii,"chesapeake, va",dollar tree stores,"about the role

the advanced analytics analyst ii is a senior individual contributor who plays a pivotal role in shaping the strategic direction of merchandising analytics. this role is responsible for integrating advanced analytics into business processes, influencing cross-functional stakeholders, and driving innovation across the organization. the analyst ii is expected to operate with a high degree of autonomy and business acumen, bridging technical capabilities with strategic business needs.

what you’ll do

lead the development and deployment of advanced analytics solutions through partnerships with merchandising organization.

translate complex business challenges into scalable analytics products using platforms such as tableau, power bi, sql, python, and google cloud platform.

partner with business leaders to identify opportunities for analytics-driven transformation and influence decision-making.

drive integration of analytics tools into business workflows, ensuring adoption and measurable impact.

key responsibilities

manage and optimize the retail analytics product suite, including assortment and merchandising tools.

collaborate cross-functionally with merchandising, supply chain, and it to ensure seamless integration and performance of analytics solutions.

automate operational workflows using sql, python, and cloud-based technologies to improve efficiency and scalability.

develop predictive models (e.g., regression, classification) to support business forecasting, inferencing, and decomposition.

design intuitive dashboards and visualizations that empower end-users to access granular insights and drive business outcomes.

champion innovation by integrating ai-enhanced tools to support a leaner, more agile analytics function.

minimum qualifications

analyst ii:

master’s degree in data science, business analytics, computer science, or a related field.

minimum 2 years of experience with hands on coding in python (data science models).

proven expertise in data science modeling, cloud platforms, and dashboard development.

demonstrated ability to lead strategic analytics initiatives, influence stakeholders, and deliver measurable business outcomes.

additional information

this job description reflects the general nature and scope of the role. responsibilities may evolve based on business needs and organizational priorities.

full time

500 volvo parkway,chesapeake,virginia 23320

buying

dollar tree",full-time,business development and sales,https://www.linkedin.com/jobs/view/advanced-analytics-analyst-ii-at-dollar-tree-stores-4340748491?trk=public_jobs_topcard-title,https://www.linkedin.com/company/dollar-tree-stores?trk=public_jobs_topcard-org-name,2025-12-02,7 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Other Data Role,Not Specified,Not Specified,Scala,1
advanced lookerstudio dashboard edits,united states,,"looking for a looker studio expert to make changes to our insights dashboard. 

the dashboard currently has 3 issues: 

1. the style and formatting will need to be updated to look more professional.
2. there are 3 areas of the dashboard that seem to not calculate corrected from the loaded google sheet.
3. other small content updates to the dashboard.",cdd,data visualization,https://www.upwork.com/jobs/Advanced-Lookerstudio-Dashboard-Edits_~021995200619856267164/?referrer_url_path=/nx/search/jobs/,,2025-11-30,Posted 2 days ago,2025-11-01,2025,11,2026-01-08 11:38:48.700486+01:00,1,Other Data Role,Contract,Not Specified,Looker,1
afc modelling - data scientist - associate - assistant vice president,"united states, us",deutsche bank,"afc modelling - data scientist - associate - assistant vice president
job id: r0379250 full/part-time: full-time
regular/temporary: regular listed: 2025-07-31
location: new york
position overview

j ob title: data scientist

corporate title: associate - assistant vice president

location: new york, ny

(all roles to be considered)

overview

deutsche bank benefits from having a highly experienced and dedicated anti financial crime (afc) function, which performs a crucial role in keeping deutsche bank’s business operations and global financial services clean from financial crime while serving the interests of the bank and society. our regional/global matrix structure allows for flexible responses to challenges in the core areas of: anti-money laundering, sanctions & embargoes, anti-fraud, bribery & corruption, investigations & intelligence, monitoring & screening, and risk assessment.

our afc team will provide you with opportunities to learn, grow and define your career. we foster an open, diverse, and inclusive team culture, that is engaged and well-supported for prosperity and enjoyment of a life/work balance.

what we offer you

a diverse and inclusive environment that embraces change, innovation, and collaboration
a hybrid working model, allowing for in-office / work from home flexibility, generous vacation, personal and volunteer days
employee resource groups support an inclusive workplace for everyone and promote community engagement
competitive compensation packages including health and wellbeing benefits, retirement savings plans, parental leave, and family building benefits
educational resources, matching gift and volunteer programs

what you’ll do

responsible for driving and execution of the anti-money laundering (aml) transaction monitoring americas data strategy in line with the global data strategy/framework
develop and evolve platform reporting statistics/data to monitor ongoing model success
perform 'deep dives' to interpret data quality issues, identify remediation and track to resolution
work with business (1lod) to understand the products being offered and define specifications/red flags for transaction monitoring models
review and address open aml tm findings in a timely fashion

skills you’ll need

bachelor’s/master’s degree in computer science, data science, management information system (mis), information management, or equivalent
previous relevant experience conducting data science or model development in a business setting
excellent programming skills, predominantly across the python/anaconda suite (scikit-learn, pandas, numpy)
excellent analytical and data science skills, including ability to independently drive research
experience in financial crimes space
demonstrated experience in relational databases, structured query language (sql), big data hadoop, hive query language (hql), data visualization tools

skills that will help you excel

flexible and able to adapt to urgent deliverable timelines
a positive outlook in a goal-oriented organization
able to demonstrate analytical, judgment, and research skills
meticulous with a strong attention to detail and the ability to multitask

expectations

it is the bank’s expectation that employees hired into this role will work in the new york city office in accordance with the bank’s hybrid working model.

deutsche bank provides reasonable accommodations to candidates and employees with a substantiated need based on disability and/or religion.

the salary range for this position in new york city is $110,000 to $150,000. actual salaries may be based on a number of factors including, but not limited to, a candidate’s skill set, experience, education, work location and other qualifications. posted salary ranges do not include incentive compensation or any other type of remuneration.

deutsche bank benefits

at deutsche bank, we recognize that our benefit programs have a profound impact on our colleagues. that’s why we are focused on providing benefits and perks that enable our colleagues to live authentically and be their whole selves, at every stage of life. we provide access to physical, emotional, and financial wellness benefits that allow our colleagues to stay financially secure and strike balance between work and home. click here to learn more!

learn more about your life at deutsche bank through the eyes of our current employees: https://careers.db.com/life

the california consumer privacy act outlines how companies can use personal information. if you are interested in receiving a copy of deutsche bank’s california privacy notice please email hr.direct@db.com .

#li-hybrid

we strive for a culture in which we are empowered to excel together every day. this includes acting responsibly, thinking commercially, taking initiative and working collaboratively.
together we share and celebrate the successes of our people. together we are deutsche bank group.
we welcome applications from all people and promote a positive, fair and inclusive work environment.

qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or other characteristics protected by law. click these links to view ""deutsche bank’s equal opportunity policy statement"" and the following notices: ""eeoc know your rights"" ; ""employee rights and responsibilities under the family and medical leave act"" ; and ""employee polygraph protection act"" .",full-time,data & database occupations,https://careers.db.com/professionals/search-roles/index?#/professional/job/61896,https://www.indeed.com/cmp/Deutsche-Bank,2025-03-26,8 months ago,2025-03-01,2025,3,2026-01-08 11:38:48.700486+01:00,1,Data Scientist,Not Specified,Not Specified,Pandas,1
afc modelling - data scientist - associate - assistant vice president,"united states, us",deutsche bank,"afc modelling - data scientist - associate - assistant vice president
job id: r0379250 full/part-time: full-time
regular/temporary: regular listed: 2025-07-31
location: new york
position overview

j ob title: data scientist

corporate title: associate - assistant vice president

location: new york, ny

(all roles to be considered)

overview

deutsche bank benefits from having a highly experienced and dedicated anti financial crime (afc) function, which performs a crucial role in keeping deutsche bank’s business operations and global financial services clean from financial crime while serving the interests of the bank and society. our regional/global matrix structure allows for flexible responses to challenges in the core areas of: anti-money laundering, sanctions & embargoes, anti-fraud, bribery & corruption, investigations & intelligence, monitoring & screening, and risk assessment.

our afc team will provide you with opportunities to learn, grow and define your career. we foster an open, diverse, and inclusive team culture, that is engaged and well-supported for prosperity and enjoyment of a life/work balance.

what we offer you

a diverse and inclusive environment that embraces change, innovation, and collaboration
a hybrid working model, allowing for in-office / work from home flexibility, generous vacation, personal and volunteer days
employee resource groups support an inclusive workplace for everyone and promote community engagement
competitive compensation packages including health and wellbeing benefits, retirement savings plans, parental leave, and family building benefits
educational resources, matching gift and volunteer programs

what you’ll do

responsible for driving and execution of the anti-money laundering (aml) transaction monitoring americas data strategy in line with the global data strategy/framework
develop and evolve platform reporting statistics/data to monitor ongoing model success
perform 'deep dives' to interpret data quality issues, identify remediation and track to resolution
work with business (1lod) to understand the products being offered and define specifications/red flags for transaction monitoring models
review and address open aml tm findings in a timely fashion

skills you’ll need

bachelor’s/master’s degree in computer science, data science, management information system (mis), information management, or equivalent
previous relevant experience conducting data science or model development in a business setting
excellent programming skills, predominantly across the python/anaconda suite (scikit-learn, pandas, numpy)
excellent analytical and data science skills, including ability to independently drive research
experience in financial crimes space
demonstrated experience in relational databases, structured query language (sql), big data hadoop, hive query language (hql), data visualization tools

skills that will help you excel

flexible and able to adapt to urgent deliverable timelines
a positive outlook in a goal-oriented organization
able to demonstrate analytical, judgment, and research skills
meticulous with a strong attention to detail and the ability to multitask

expectations

it is the bank’s expectation that employees hired into this role will work in the new york city office in accordance with the bank’s hybrid working model.

deutsche bank provides reasonable accommodations to candidates and employees with a substantiated need based on disability and/or religion.

the salary range for this position in new york city is $110,000 to $150,000. actual salaries may be based on a number of factors including, but not limited to, a candidate’s skill set, experience, education, work location and other qualifications. posted salary ranges do not include incentive compensation or any other type of remuneration.

deutsche bank benefits

at deutsche bank, we recognize that our benefit programs have a profound impact on our colleagues. that’s why we are focused on providing benefits and perks that enable our colleagues to live authentically and be their whole selves, at every stage of life. we provide access to physical, emotional, and financial wellness benefits that allow our colleagues to stay financially secure and strike balance between work and home. click here to learn more!

learn more about your life at deutsche bank through the eyes of our current employees: https://careers.db.com/life

the california consumer privacy act outlines how companies can use personal information. if you are interested in receiving a copy of deutsche bank’s california privacy notice please email hr.direct@db.com .

#li-hybrid

we strive for a culture in which we are empowered to excel together every day. this includes acting responsibly, thinking commercially, taking initiative and working collaboratively.
together we share and celebrate the successes of our people. together we are deutsche bank group.
we welcome applications from all people and promote a positive, fair and inclusive work environment.

qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or other characteristics protected by law. click these links to view ""deutsche bank’s equal opportunity policy statement"" and the following notices: ""eeoc know your rights"" ; ""employee rights and responsibilities under the family and medical leave act"" ; and ""employee polygraph protection act"" .",full-time,data & database occupations,https://careers.db.com/professionals/search-roles/index?#/professional/job/61896,https://www.indeed.com/cmp/Deutsche-Bank,2025-03-26,8 months ago,2025-03-01,2025,3,2026-01-08 11:38:48.700486+01:00,1,Data Scientist,Not Specified,Not Specified,NumPy,1
agentic ai & data scientist,"arlington, va",guidehouse,"job family

data science consulting

travel required

up to 10%

clearance required

ability to obtain public trust

what you will do

we are seeking a forward-thinking senior consultant to lead initiatives in agentic ai, generative ai, and advanced data science. this role will drive innovation in healthcare analytics and enterprise ai solutions, leveraging cutting-edge technologies to transform data into actionable intelligence. the ideal candidate will replace a technical leader who pioneered ai-driven workflows and generative modeling within our organization.


 * design and implement agentic ai systems for autonomous decision-making and workflow optimization.
 * develop generative ai applications for summarization, predictive modeling, and conversational interfaces.
 * build and maintain scalable data pipelines integrating structured and unstructured data.
 * apply advanced statistical and machine learning techniques to policy evaluation.
 * lead ai-driven projects in retrieval-augmented generation (rag), prompt engineering, and knowledge graph integration.
 * collaborate with cross-functional teams to deliver ai-powered dashboards and insights.
 * mentor junior staff in ai methodologies and data science best practices.
   
   

what you will need


 * us citizenship is required
 * master’s degree is required
 * minimum five (5) years of experience in ai and data analytics, including healthcare or enterprise data.
 * expertise in python, r, and frameworks for ai/ml (e.g., tensorflow, pytorch).
 * hands-on experience with generative ai models (llms, diffusion models) and agentic ai architectures.
 * strong understanding of sql and cloud-based data platforms.
 * ability to translate complex ai concepts into business solutions.
 * experience with rag pipelines, vector databases, and knowledge graphs.
   
   

what would be nice to have


 * familiarity with ai governance, ethical ai practices, and compliance.
 * proficiency in visualization tools and interactive dashboards.
 * agile project management and sprint-based delivery.
 * prior experience in technology consulting
   
   

the annual salary range for this position is $113,000.00-$188,000.00. compensation decisions depend on a wide range of factors, including but not limited to skill sets, experience and training, security clearances, licensure and certifications, and other business and organizational needs.

what we offer

guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

benefits include


 * medical, rx, dental & vision insurance
 * personal and family sick time & company paid holidays
 * position may be eligible for a discretionary variable incentive bonus
 * parental leave and adoption assistance
 * 401(k) retirement plan
 * basic life & supplemental life
 * health savings account, dental/vision & dependent care flexible spending accounts
 * short-term & long-term disability
 * student loan paydown
 * tuition reimbursement, personal development & learning opportunities
 * skills development & certifications
 * employee referral program
 * corporate sponsored events & community outreach
 * emergency back-up childcare program
 * mobility stipend
   
   

about guidehouse

guidehouse is an equal opportunity employer–protected veterans, individuals with disabilities or any other basis protected by law, ordinance, or regulation.

guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the fair chance ordinance of los angeles and san francisco.

if you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact guidehouse recruiting at 1-571-633-1711 or via email at recruitingaccommodation@guidehouse.com. all information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

all communication regarding recruitment for a guidehouse position will be sent from guidehouse email domains including @guidehouse.com or guidehouse@myworkday.com. correspondence received by an applicant from any other domain should be considered unauthorized and will not be honored by guidehouse. note that guidehouse will never charge a fee or require a money transfer at any stage of the recruitment process and does not collect fees from educational institutions for participation in a recruitment event. never provide your banking information to a third party purporting to need that information to proceed in the hiring process.

if any person or organization demands money related to a job opportunity with guidehouse, please report the matter to guidehouse’s ethics hotline. if you want to check the validity of correspondence you have received, please contact recruiting@guidehouse.com. guidehouse is not responsible for losses incurred (monetary or otherwise) from an applicant’s dealings with unauthorized third parties.

guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. all unsolicited resumes will be considered the property of guidehouse and guidehouse will not be obligated to pay a placement fee.",full-time,engineering and information technology,https://www.linkedin.com/jobs/view/agentic-ai-data-scientist-at-guidehouse-4340775947?trk=public_jobs_topcard-title,https://www.linkedin.com/company/guidehouse?trk=public_jobs_topcard-org-name,2025-12-02,14 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Data Scientist,Not Specified,Not Specified,PyTorch,1
agentic ai & data scientist,"arlington, va",guidehouse,"job family

data science consulting

travel required

up to 10%

clearance required

ability to obtain public trust

what you will do

we are seeking a forward-thinking senior consultant to lead initiatives in agentic ai, generative ai, and advanced data science. this role will drive innovation in healthcare analytics and enterprise ai solutions, leveraging cutting-edge technologies to transform data into actionable intelligence. the ideal candidate will replace a technical leader who pioneered ai-driven workflows and generative modeling within our organization.


 * design and implement agentic ai systems for autonomous decision-making and workflow optimization.
 * develop generative ai applications for summarization, predictive modeling, and conversational interfaces.
 * build and maintain scalable data pipelines integrating structured and unstructured data.
 * apply advanced statistical and machine learning techniques to policy evaluation.
 * lead ai-driven projects in retrieval-augmented generation (rag), prompt engineering, and knowledge graph integration.
 * collaborate with cross-functional teams to deliver ai-powered dashboards and insights.
 * mentor junior staff in ai methodologies and data science best practices.
   
   

what you will need


 * us citizenship is required
 * master’s degree is required
 * minimum five (5) years of experience in ai and data analytics, including healthcare or enterprise data.
 * expertise in python, r, and frameworks for ai/ml (e.g., tensorflow, pytorch).
 * hands-on experience with generative ai models (llms, diffusion models) and agentic ai architectures.
 * strong understanding of sql and cloud-based data platforms.
 * ability to translate complex ai concepts into business solutions.
 * experience with rag pipelines, vector databases, and knowledge graphs.
   
   

what would be nice to have


 * familiarity with ai governance, ethical ai practices, and compliance.
 * proficiency in visualization tools and interactive dashboards.
 * agile project management and sprint-based delivery.
 * prior experience in technology consulting
   
   

the annual salary range for this position is $113,000.00-$188,000.00. compensation decisions depend on a wide range of factors, including but not limited to skill sets, experience and training, security clearances, licensure and certifications, and other business and organizational needs.

what we offer

guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

benefits include


 * medical, rx, dental & vision insurance
 * personal and family sick time & company paid holidays
 * position may be eligible for a discretionary variable incentive bonus
 * parental leave and adoption assistance
 * 401(k) retirement plan
 * basic life & supplemental life
 * health savings account, dental/vision & dependent care flexible spending accounts
 * short-term & long-term disability
 * student loan paydown
 * tuition reimbursement, personal development & learning opportunities
 * skills development & certifications
 * employee referral program
 * corporate sponsored events & community outreach
 * emergency back-up childcare program
 * mobility stipend
   
   

about guidehouse

guidehouse is an equal opportunity employer–protected veterans, individuals with disabilities or any other basis protected by law, ordinance, or regulation.

guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the fair chance ordinance of los angeles and san francisco.

if you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact guidehouse recruiting at 1-571-633-1711 or via email at recruitingaccommodation@guidehouse.com. all information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

all communication regarding recruitment for a guidehouse position will be sent from guidehouse email domains including @guidehouse.com or guidehouse@myworkday.com. correspondence received by an applicant from any other domain should be considered unauthorized and will not be honored by guidehouse. note that guidehouse will never charge a fee or require a money transfer at any stage of the recruitment process and does not collect fees from educational institutions for participation in a recruitment event. never provide your banking information to a third party purporting to need that information to proceed in the hiring process.

if any person or organization demands money related to a job opportunity with guidehouse, please report the matter to guidehouse’s ethics hotline. if you want to check the validity of correspondence you have received, please contact recruiting@guidehouse.com. guidehouse is not responsible for losses incurred (monetary or otherwise) from an applicant’s dealings with unauthorized third parties.

guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. all unsolicited resumes will be considered the property of guidehouse and guidehouse will not be obligated to pay a placement fee.",full-time,engineering and information technology,https://www.linkedin.com/jobs/view/agentic-ai-data-scientist-at-guidehouse-4340775947?trk=public_jobs_topcard-title,https://www.linkedin.com/company/guidehouse?trk=public_jobs_topcard-org-name,2025-12-02,14 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Data Scientist,Not Specified,Not Specified,Scala,1
agentic ai & data scientist,"arlington, va",guidehouse,"job family

data science consulting

travel required

up to 10%

clearance required

ability to obtain public trust

what you will do

we are seeking a forward-thinking senior consultant to lead initiatives in agentic ai, generative ai, and advanced data science. this role will drive innovation in healthcare analytics and enterprise ai solutions, leveraging cutting-edge technologies to transform data into actionable intelligence. the ideal candidate will replace a technical leader who pioneered ai-driven workflows and generative modeling within our organization.


 * design and implement agentic ai systems for autonomous decision-making and workflow optimization.
 * develop generative ai applications for summarization, predictive modeling, and conversational interfaces.
 * build and maintain scalable data pipelines integrating structured and unstructured data.
 * apply advanced statistical and machine learning techniques to policy evaluation.
 * lead ai-driven projects in retrieval-augmented generation (rag), prompt engineering, and knowledge graph integration.
 * collaborate with cross-functional teams to deliver ai-powered dashboards and insights.
 * mentor junior staff in ai methodologies and data science best practices.
   
   

what you will need


 * us citizenship is required
 * master’s degree is required
 * minimum five (5) years of experience in ai and data analytics, including healthcare or enterprise data.
 * expertise in python, r, and frameworks for ai/ml (e.g., tensorflow, pytorch).
 * hands-on experience with generative ai models (llms, diffusion models) and agentic ai architectures.
 * strong understanding of sql and cloud-based data platforms.
 * ability to translate complex ai concepts into business solutions.
 * experience with rag pipelines, vector databases, and knowledge graphs.
   
   

what would be nice to have


 * familiarity with ai governance, ethical ai practices, and compliance.
 * proficiency in visualization tools and interactive dashboards.
 * agile project management and sprint-based delivery.
 * prior experience in technology consulting
   
   

the annual salary range for this position is $113,000.00-$188,000.00. compensation decisions depend on a wide range of factors, including but not limited to skill sets, experience and training, security clearances, licensure and certifications, and other business and organizational needs.

what we offer

guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

benefits include


 * medical, rx, dental & vision insurance
 * personal and family sick time & company paid holidays
 * position may be eligible for a discretionary variable incentive bonus
 * parental leave and adoption assistance
 * 401(k) retirement plan
 * basic life & supplemental life
 * health savings account, dental/vision & dependent care flexible spending accounts
 * short-term & long-term disability
 * student loan paydown
 * tuition reimbursement, personal development & learning opportunities
 * skills development & certifications
 * employee referral program
 * corporate sponsored events & community outreach
 * emergency back-up childcare program
 * mobility stipend
   
   

about guidehouse

guidehouse is an equal opportunity employer–protected veterans, individuals with disabilities or any other basis protected by law, ordinance, or regulation.

guidehouse will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable law or ordinance including the fair chance ordinance of los angeles and san francisco.

if you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact guidehouse recruiting at 1-571-633-1711 or via email at recruitingaccommodation@guidehouse.com. all information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

all communication regarding recruitment for a guidehouse position will be sent from guidehouse email domains including @guidehouse.com or guidehouse@myworkday.com. correspondence received by an applicant from any other domain should be considered unauthorized and will not be honored by guidehouse. note that guidehouse will never charge a fee or require a money transfer at any stage of the recruitment process and does not collect fees from educational institutions for participation in a recruitment event. never provide your banking information to a third party purporting to need that information to proceed in the hiring process.

if any person or organization demands money related to a job opportunity with guidehouse, please report the matter to guidehouse’s ethics hotline. if you want to check the validity of correspondence you have received, please contact recruiting@guidehouse.com. guidehouse is not responsible for losses incurred (monetary or otherwise) from an applicant’s dealings with unauthorized third parties.

guidehouse does not accept unsolicited resumes through or from search firms or staffing agencies. all unsolicited resumes will be considered the property of guidehouse and guidehouse will not be obligated to pay a placement fee.",full-time,engineering and information technology,https://www.linkedin.com/jobs/view/agentic-ai-data-scientist-at-guidehouse-4340775947?trk=public_jobs_topcard-title,https://www.linkedin.com/company/guidehouse?trk=public_jobs_topcard-org-name,2025-12-02,14 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Data Scientist,Not Specified,Not Specified,TensorFlow,1
ai & cloud engineer - remote,"phoenix, az",coreai consulting,"we are seeking a highly skilled mid–senior level engineer with strong expertise in python, aws cloud services, containerization, and modern ai/ml technologies. the ideal candidate has hands-on experience designing scalable data ingestion pipelines, deploying genai/llm solutions, and building retrieval-augmented and agentic systems for enterprise use cases. this role involves end-to-end solution design—data, infrastructure, orchestration, and model integration—across cloud-native environments.




key responsibilities

 * design, develop, and deploy scalable applications and microservices using python and aws services (lambda, ecs/eks, s3, dynamodb, api gateway, bedrock, cloudformation, etc.).
 * build and maintain containerized workloads using docker, github workflows, and ci/cd automation.
 * develop robust data ingestion and processing pipelines integrating structured/unstructured data sources.
 * implement genai solutions using llms, embeddings, vector databases (pinecone, faiss, redis, etc.), and rag architectures.
 * build and manage knowledge bases, embedding pipelines, and context-retrieval systems optimized for real-world performance.
 * design and orchestrate agentic workflows using modern agentic frameworks and multi-agent patterns for automation and decision-making.
 * work with aws bedrock to integrate foundation models, manage guardrails, tune prompts, and optimize model performance.
 * implement secure, scalable infrastructure using cloudformation, iam, vpc, and aws networking best practices.
 * collaborate with cross-functional teams (data, product, engineering) to translate requirements into technical designs.
 * monitor, troubleshoot, and optimize production ai/ml workloads, including inference performance, latency, cost, and reliability.
 * maintain strong code quality standards through github version control, documentation, and automated testing.




required skills & experience

 * 8+ years of professional experience in software engineering, cloud engineering, or ml/ai development.
 * expert-level programming skills in python (fastapi, flask, async frameworks preferred).
 * deep experience with aws services, including serverless and container architectures.
 * hands-on experience with docker, ci/cd, and iac tools like cloudformation or cdk.
 * proven experience building rag pipelines, vector store integrations, and embedding workflows.
 * strong understanding of llms, prompt engineering, model evaluation, and generative ai development.
 * experience with agentic orchestration (langchain, llamaindex, custom agent frameworks, or aws agents).
 * experience integrating with aws bedrock or similar foundation model platforms.
 * solid understanding of distributed systems, api development, security, and cloud-native patterns.
 * strong problem-solving abilities and the ability to work independently in fast-paced environments.

",full-time,information technology,https://www.linkedin.com/jobs/view/ai-cloud-engineer-remote-at-coreai-consulting-4340315142?trk=public_jobs_topcard-title,https://www.linkedin.com/company/core-ai-consulting?trk=public_jobs_topcard-org-name,2025-12-02,17 hours ago,2025-12-01,2025,12,2026-01-08 11:38:48.700486+01:00,1,Other Data Role,Not Specified,Not Specified,Docker,1
